"('Faculty Vaccine %', 0)","('Student Vaccine %', 0)","('Face Mask Intervention?', False)","('Number of Simulations', 5)"
2366,2366,2365,2362,2362,2362,2360,2359,2357,2353,2350,2349,2344,2341,2334,2329,2322,2311,2300,2292,2285,2270,2239,2224,2198,2183,2165,2132,2088,2039,1989,1925,1896,1868,1839,1742,1659,1561,1475,1431,1383,1343,1250,1164,1093,1000,963,940,910,839,790,745,704,689,680,672,644,608,562,546,539,538,535,518,501,483,467,467,466,464,450,446,441,434,432,432,432,426,422,419,418,418,418,418,418,417,416,414,413,413,413,411,409,409,409,409,409,409,409,409,408,407,407,405,405
4,4,5,4,4,3,2,3,5,7,9,8,9,9,15,15,19,23,29,30,26,30,53,61,72,56,59,66,95,126,143,163,143,121,86,154,209,278,267,228,178,132,181,219,250,250,201,153,90,124,150,165,135,101,65,32,45,72,110,98,69,24,11,21,37,52,51,34,17,3,17,20,23,16,14,9,2,6,10,13,8,4,1,0,0,1,2,4,4,3,1,2,4,4,2,0,0,0,0,0,1,2,2,3,2
10,10,10,14,14,15,18,18,18,20,21,15,19,21,22,23,26,31,34,41,51,62,69,72,84,113,127,147,158,170,199,235,273,314,371,393,408,407,486,546,630,696,714,717,709,756,779,817,878,886,833,792,762,726,714,700,676,599,517,472,423,432,414,383,315,275,247,213,213,220,207,182,154,124,110,102,104,104,90,73,59,51,53,49,47,33,31,26,18,16,18,19,14,10,8,9,9,9,9,9,9,8,7,8,8
0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,13,13,15,17,17,18,18,19,23,26,28,29,35,39,45,49,57,68,77,84,91,104,134,152,175,189,209,235,280,328,374,437,470,502,531,607,678,779,864,921,976,1015,1101,1191,1264,1349,1386,1420,1458,1527,1570,1615,1666,1684,1693,1706,1732,1762,1806,1824,1837,1842,1844,1858,1875,1895,1907,1908,1913,1915,1929,1931,1936,1945,1948,1948,1948,1953,1957,1961,1962,1962,1962,1962,1962,1962,1963,1964,1964,1965
2367,2366,2366,2363,2363,2359,2357,2352,2347,2345,2343,2339,2334,2330,2321,2312,2303,2293,2286,2277,2263,2243,2217,2188,2156,2140,2119,2098,2044,1991,1939,1893,1861,1813,1776,1709,1626,1540,1460,1425,1385,1342,1239,1150,1084,999,961,928,907,835,777,735,688,674,656,647,614,584,555,532,526,521,519,508,499,487,474,474,474,474,469,466,458,456,456,456,455,454,453,451,446,446,446,446,442,441,441,441,441,441,441,441,441,440,440,439,439,438,438,438,438,437,437,437,437
3,4,4,4,3,7,6,11,12,12,9,8,11,13,18,22,27,28,26,26,30,43,60,75,87,77,69,58,96,128,159,151,130,126,117,152,187,236,249,201,155,118,186,235,258,240,189,156,92,126,151,172,147,103,79,41,60,72,92,82,58,34,13,18,22,32,34,25,13,0,5,8,16,13,10,2,1,2,3,4,8,7,5,0,4,5,5,1,0,0,0,0,0,1,1,2,1,2,1,1,0,1,1,1,0
10,10,10,13,14,14,17,17,21,23,28,24,26,27,31,33,36,45,52,61,67,73,78,86,104,129,154,181,193,205,218,263,304,350,386,403,432,445,488,542,608,668,684,672,670,725,763,794,830,829,795,733,729,716,716,716,687,613,535,494,440,424,404,383,323,276,245,210,201,187,178,145,115,94,76,74,68,64,52,47,42,27,24,29,29,26,22,17,16,15,15,14,13,12,10,7,8,8,9,4,4,3,3,3,4
0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,13,14,14,16,16,20,21,25,31,33,34,38,43,47,56,64,73,85,91,101,116,135,159,183,212,232,252,271,323,368,416,467,502,551,590,657,740,816,887,929,976,1019,1111,1198,1272,1356,1401,1444,1471,1536,1585,1627,1671,1692,1719,1728,1761,1791,1817,1838,1848,1856,1860,1872,1878,1884,1900,1905,1905,1905,1908,1912,1921,1923,1924,1924,1925,1926,1927,1929,1932,1932,1932,1932,1937,1938,1939,1939,1939,1939
2366,2363,2363,2360,2360,2359,2355,2344,2340,2334,2324,2318,2315,2315,2302,2289,2277,2259,2251,2243,2238,2205,2182,2149,2118,2093,2072,2053,2014,1961,1909,1842,1809,1762,1717,1641,1569,1477,1382,1335,1294,1260,1175,1087,1005,914,892,865,844,795,738,680,643,628,616,603,569,535,512,493,491,487,485,477,466,457,451,451,450,449,443,440,435,431,431,429,429,427,424,421,419,419,418,418,418,418,415,415,415,415,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414
4,7,7,6,3,4,5,16,19,21,20,22,19,9,16,26,38,43,38,34,21,46,61,89,87,89,77,65,79,111,144,172,152,147,125,168,193,240,259,234,183,122,160,207,255,261,195,140,70,97,127,164,152,110,64,40,59,81,91,76,44,25,8,14,21,28,26,15,7,2,8,10,14,12,9,6,2,4,5,8,8,5,3,1,1,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,14,17,17,20,20,21,25,36,35,41,47,53,53,50,62,72,83,100,105,105,105,129,143,171,199,223,230,240,269,301,343,401,429,443,471,521,566,632,699,726,733,720,752,776,825,866,841,797,751,710,674,678,674,650,575,509,465,407,398,383,367,318,267,224,199,186,172,157,124,95,77,58,58,57,56,49,37,32,31,32,31,30,26,23,17,13,16,14,14,12,11,9,6,5,5,5,4,4,3,3,2,2
